15:41:23.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	ff000000> 
15:41:23.584 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:23.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:23.763 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:23.855 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:23.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.063 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.394 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.454 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.663 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.873 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fe000000> 
15:41:24.964 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.354 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:25.775 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:25.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:26.074 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:26.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:26.254 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:26.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:26.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:26.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:26.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:26.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:26.854 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:26.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:27.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:27.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:27.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:27.364 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:27.454 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:27.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:27.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:27.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:27.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:27.964 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:28.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:28.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:28.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.354 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:28.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.074 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.254 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:29.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:29.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fd000000> 
15:41:29.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.853 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:29.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.364 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.454 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:30.963 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.175 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.354 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:31.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.074 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.165 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.254 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:32.854 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:32.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:33.364 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
