17:02:05.766 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	97000000> 	17:02:05.766	9700	0000	0097	0000	151	0
17:02:05.826 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	96000000> 	17:02:05.826	9600	0000	0096	0000	150	0
17:02:05.856 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	96000000> 	17:02:05.856	9600	0000	0096	0000	150	0
17:02:05.917 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	96000000> 	17:02:05.917	9600	0000	0096	0000	150	0
17:02:05.976 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	95000000> 	17:02:05.976	9500	0000	0095	0000	149	0
17:02:06.006 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	94000000> 	17:02:06.006	9400	0000	0094	0000	148	0
17:02:06.066 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	94000000> 	17:02:06.066	9400	0000	0094	0000	148	0
17:02:06.126 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.126	9300	0000	0093	0000	147	0
17:02:06.156 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.156	9300	0000	0093	0000	147	0
17:02:06.216 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.216	9300	0000	0093	0000	147	0
17:02:06.276 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.276	9300	0000	0093	0000	147	0
17:02:06.336 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.336	9300	0000	0093	0000	147	0
17:02:06.366 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.366	9300	0000	0093	0000	147	0
17:02:06.426 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.426	9200	0000	0092	0000	146	0
17:02:06.486 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.486	9200	0000	0092	0000	146	0
17:02:06.546 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.546	9200	0000	0092	0000	146	0
17:02:06.576 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.576	9200	0000	0092	0000	146	0
17:02:06.637 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.637	9200	0000	0092	0000	146	0
17:02:06.696 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	91000000> 	17:02:06.696	9100	0000	0091	0000	145	0
17:02:06.726 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	91000000> 	17:02:06.726	9100	0000	0091	0000	145	0
17:02:06.786 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:06.786	9000	0000	0090	0000	144	0
17:02:06.846 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:06.846	9000	0000	0090	0000	144	0
17:02:06.876 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:06.876	9000	0000	0090	0000	144	0
17:02:06.936 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:06.936	8f00	0000	008f	0000	143	0
17:02:06.996 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:06.996	8f00	0000	008f	0000	143	0
17:02:07.026 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.026	8f00	0000	008f	0000	143	0
17:02:07.086 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.086	8f00	0000	008f	0000	143	0
17:02:07.146 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8e000000> 	17:02:07.146	8e00	0000	008e	0000	142	0
17:02:07.206 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8e000000> 	17:02:07.206	8e00	0000	008e	0000	142	0
17:02:07.237 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8e000000> 	17:02:07.237	8e00	0000	008e	0000	142	0
17:02:07.296 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8e000000> 	17:02:07.296	8e00	0000	008e	0000	142	0
17:02:07.386 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.386	8f00	0000	008f	0000	143	0
17:02:07.386 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.386	8f00	0000	008f	0000	143	0
17:02:07.446 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.446	8f00	0000	008f	0000	143	0
17:02:07.506 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.506	8f00	0000	008f	0000	143	0
17:02:07.536 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.536	8f00	0000	008f	0000	143	0
17:02:07.596 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.596	8f00	0000	008f	0000	143	0
17:02:07.657 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.657	8f00	0000	008f	0000	143	0
17:02:07.717 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.717	8f00	0000	008f	0000	143	0
17:02:07.746 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.746	8f00	0000	008f	0000	143	0
17:02:07.807 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.807	8f00	0000	008f	0000	143	0
17:02:07.866 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:07.866	8f00	0000	008f	0000	143	0
17:02:07.896 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:07.896	9000	0000	0090	0000	144	0
17:02:07.956 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:07.956	9000	0000	0090	0000	144	0
17:02:08.016 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:08.016	9000	0000	0090	0000	144	0
17:02:08.076 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:08.076	9000	0000	0090	0000	144	0
17:02:08.106 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	91000000> 	17:02:08.106	9100	0000	0091	0000	145	0
17:02:08.166 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	91000000> 	17:02:08.166	9100	0000	0091	0000	145	0
17:02:08.226 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.226	9200	0000	0092	0000	146	0
17:02:08.256 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.256	9200	0000	0092	0000	146	0
17:02:08.316 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.316	9200	0000	0092	0000	146	0
17:02:08.376 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.376	9200	0000	0092	0000	146	0
17:02:08.436 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.436	9200	0000	0092	0000	146	0
17:02:08.466 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.466	9200	0000	0092	0000	146	0
17:02:08.526 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.526	9200	0000	0092	0000	146	0
17:02:08.586 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.586	9200	0000	0092	0000	146	0
17:02:08.616 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.616	9200	0000	0092	0000	146	0
17:02:08.676 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.676	9200	0000	0092	0000	146	0
17:02:08.736 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.736	9200	0000	0092	0000	146	0
17:02:08.766 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:08.766	9200	0000	0092	0000	146	0
17:02:08.826 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:08.826	9300	0000	0093	0000	147	0
17:02:08.886 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	c1000000> 	17:02:08.886	c100	0000	00c1	0000	193	0
17:02:08.918 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	d4000000> 	17:02:08.918	d400	0000	00d4	0000	212	0
17:02:08.977 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	d4000000> 	17:02:08.977	d400	0000	00d4	0000	212	0
17:02:09.036 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	d4000000> 	17:02:09.036	d400	0000	00d4	0000	212	0
